"Dijaki po statistièni regiji stalnega prebivališèa, Slovenija, letno"

"STATISTIÈNA REGIJA STALNEGA PREBIVALIŠÈA";"Vsi dijaki 2009/10";"Vsi dijaki 2010/11";"Vsi dijaki 2011/12";"Vsi dijaki 2012/13";"Vsi dijaki 2013/14";"Vsi dijaki 2014/15";"Vsi dijaki 2015/16";"Vsi dijaki 2016/17";"Vsi dijaki 2017/18";"Vsi dijaki 2018/19"
"SLOVENIJA";85030;82267;79901;78208;76714;75325;74759;74021;73776;73110
"Pomurska";6618;4645;4443;4262;4104;3987;3889;3725;3651;3711
"Podravska";12357;12390;12176;11800;11488;10995;10759;10576;10666;10618
"Koroška";5233;3199;3047;2997;3013;2829;2840;2720;2602;2523
"Savinjska";10382;10900;10694;10605;10182;10043;9761;9543;9493;9300
"Zasavska";1130;1796;1726;1636;1619;1538;2116;2026;1962;1864
"Posavska";2572;2817;2736;2692;2667;2583;2811;2765;2808;2721
"Jugovzhodna Slovenija";6254;6327;6022;5771;5554;5331;5277;5289;5206;5130
"Osrednjeslovenska";22011;20918;20339;19853;19991;19064;18748;18589;18644;18649
"Gorenjska";7149;8647;8268;8263;8048;7871;7721;7549;7595;7458
"Primorsko-notranjska";1492;1993;2010;2011;1897;1868;1813;1808;1806;1770
"Goriška";5939;4823;4726;4584;4481;4373;4336;4279;4188;4061
"Obalno-kraška";3809;3662;3562;3535;3502;3422;3398;3386;3355;3394
"stalno bivališèe neznano ali v tujini";84;150;152;199;168;1421;1290;1766;1800;1911
