"Dijaki po starosti, letnikih, spolu in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"LETNIK";"STAROST";"2009/10 Spol - SKUPAJ";"2010/11 Spol - SKUPAJ";"2011/12 Spol - SKUPAJ";"2012/13 Spol - SKUPAJ";"2013/14 Spol - SKUPAJ";"2014/15 Spol - SKUPAJ";"2015/16 Spol - SKUPAJ";"2016/17 Spol - SKUPAJ";"2017/18 Spol - SKUPAJ";"2018/19 Spol - SKUPAJ"
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"Starost - Skupaj";85030;82267;79901;78208;76714;75325;74759;74021;73776;73110
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"13 let ali manj";11;19;4;15;4;2;1;2;-;1
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"14 let";1175;902;456;148;89;122;132;113;81;113
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"15 let";18348;18022;17938;17220;16898;16320;17012;16169;16374;15954
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"16 let";19330;19129;18719;18749;18102;17767;17357;18096;17615;17667
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"17 let";19669;19049;18855;18568;18530;18045;17742;17323;18097;17540
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"18 let";18163;17295;17229;17097;16658;16829;16601;16435;16057;16555
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"19 let";5217;4691;4249;3995;4223;4140;3922;3888;3781;3625
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"20 let";1646;1702;1365;1248;1141;1041;1101;1110;974;971
"Vrsta izobraževanja - SKUPAJ";"Vsi letniki - SKUPAJ";"21 let in veè";1471;1458;1086;1168;1069;1059;891;885;797;684
"Nižje poklicno";"Vsi letniki - SKUPAJ";"Starost - Skupaj";1055;875;836;800;871;901;944;1000;1027;1047
"Nižje poklicno";"Vsi letniki - SKUPAJ";"13 let ali manj";-;-;-;-;-;-;-;-;-;-
"Nižje poklicno";"Vsi letniki - SKUPAJ";"14 let";14;13;5;2;4;-;2;1;1;1
"Nižje poklicno";"Vsi letniki - SKUPAJ";"15 let";211;224;234;198;245;193;242;231;242;263
"Nižje poklicno";"Vsi letniki - SKUPAJ";"16 let";331;304;293;321;319;366;304;391;364;387
"Nižje poklicno";"Vsi letniki - SKUPAJ";"17 let";288;218;178;180;163;203;220;205;265;239
"Nižje poklicno";"Vsi letniki - SKUPAJ";"18 let";131;83;78;58;97;80;103;103;83;102
"Nižje poklicno";"Vsi letniki - SKUPAJ";"19 let";52;23;28;28;25;44;42;36;43;30
"Nižje poklicno";"Vsi letniki - SKUPAJ";"20 let";21;7;9;9;13;8;20;14;12;11
"Nižje poklicno";"Vsi letniki - SKUPAJ";"21 let in veè";7;3;11;4;5;7;11;19;17;14
"Srednje poklicno";"Vsi letniki - SKUPAJ";"Starost - Skupaj";12361;11900;11750;11684;11683;11763;11996;12283;12289;12191
"Srednje poklicno";"Vsi letniki - SKUPAJ";"13 let ali manj";1;11;1;5;1;-;-;-;-;-
"Srednje poklicno";"Vsi letniki - SKUPAJ";"14 let";108;72;46;22;4;9;13;8;7;7
"Srednje poklicno";"Vsi letniki - SKUPAJ";"15 let";2416;2644;2583;2575;2584;2589;2727;2776;2679;2624
"Srednje poklicno";"Vsi letniki - SKUPAJ";"16 let";3364;3289;3365;3263;3165;3243;3345;3457;3564;3508
"Srednje poklicno";"Vsi letniki - SKUPAJ";"17 let";3652;3368;3405;3517;3574;3433;3542;3605;3727;3828
"Srednje poklicno";"Vsi letniki - SKUPAJ";"18 let";1650;1419;1370;1355;1378;1515;1376;1382;1388;1372
"Srednje poklicno";"Vsi letniki - SKUPAJ";"19 let";685;607;568;545;599;627;633;613;534;522
"Srednje poklicno";"Vsi letniki - SKUPAJ";"20 let";308;307;267;245;215;192;222;242;215;187
"Srednje poklicno";"Vsi letniki - SKUPAJ";"21 let in veè";177;183;145;157;163;155;138;200;175;143
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"Starost - Skupaj";36561;35983;35241;34687;34670;34451;34573;34369;34408;34281
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"13 let ali manj";3;4;1;5;1;-;-;-;-;-
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"14 let";409;305;151;31;15;21;23;24;12;25
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"15 let";7352;7239;7505;7004;7305;7068;7520;7022;7183;6900
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"16 let";7572;7497;7246;7563;7385;7540;7299;7741;7506;7515
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"17 let";7362;7653;7397;7364;7432;7345;7457;7186;7703;7455
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"18 let";8424;8289;8520;8476;8272;8399;8389;8575;8376;8862
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"19 let";3614;3209;2922;2703;2887;2768;2646;2623;2566;2503
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"20 let";1052;1013;902;860;756;703;739;740;644;657
"Srednje tehniško in drugo strokovno";"Vsi letniki - SKUPAJ";"21 let in veè";773;774;597;681;617;607;500;458;418;364
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"Starost - Skupaj";30910;30715;30542;30366;30483;30433;30818;30714;30798;30597
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"13 let ali manj";3;2;1;3;-;-;-;-;-;-
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"14 let";406;305;151;30;15;21;23;24;12;25
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"15 let";7352;7239;7505;7004;7305;7068;7520;7022;7183;6900
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"16 let";7571;7497;7246;7563;7385;7540;7299;7741;7506;7515
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"17 let";7269;7554;7330;7300;7387;7319;7447;7185;7699;7446
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"18 let";6649;6575;6970;7020;6748;7009;7065;7227;7027;7471
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"19 let";1309;1152;1061;1070;1283;1140;1121;1150;1063;983
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"20 let";249;291;197;248;240;203;218;237;193;198
"…srednje tehniško in dr. strokovno (4-letni program)";"Vsi letniki - SKUPAJ";"21 let in veè";102;100;81;128;120;133;125;128;115;59
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"Starost - Skupaj";5245;4839;4386;3955;3823;3655;3484;3421;3397;3492
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"13 let ali manj";-;2;-;-;-;-;-;-;-;-
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"14 let";3;-;-;-;-;-;-;-;-;-
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"15 let";-;-;-;-;-;-;-;-;-;-
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"16 let";1;-;-;-;-;-;-;-;-;-
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"17 let";92;99;66;64;44;26;10;1;4;9
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"18 let";1763;1706;1539;1450;1521;1386;1323;1347;1349;1391
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"19 let";2163;1922;1766;1542;1485;1547;1442;1392;1414;1443
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"20 let";747;649;636;534;455;445;465;467;405;414
"…poklicno tehniško";"Vsi letniki - SKUPAJ";"21 let in veè";476;461;379;365;318;251;244;214;225;235
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"Starost - Skupaj";406;429;313;366;364;363;271;234;213;192
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"13 let ali manj";-;-;-;2;1;-;-;-;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"14 let";-;-;-;1;-;-;-;-;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"15 let";-;-;-;-;-;-;-;-;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"16 let";-;-;-;-;-;-;-;-;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"17 let";1;-;1;-;1;-;-;-;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"18 let";12;8;11;6;3;4;1;1;-;-
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"19 let";142;135;95;91;119;81;83;81;89;77
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"20 let";56;73;69;78;61;55;56;36;46;45
"…poklicni teèaj";"Vsi letniki - SKUPAJ";"21 let in veè";195;213;137;188;179;223;131;116;78;70
"Srednje splošno";"Vsi letniki - SKUPAJ";"Starost - Skupaj";35053;33509;32074;31037;29490;28210;27246;26369;26052;25591
"Srednje splošno";"Vsi letniki - SKUPAJ";"13 let ali manj";7;4;2;5;2;2;1;2;-;1
"Srednje splošno";"Vsi letniki - SKUPAJ";"14 let";644;512;254;93;66;92;94;80;61;80
"Srednje splošno";"Vsi letniki - SKUPAJ";"15 let";8369;7915;7616;7443;6764;6470;6523;6140;6270;6167
"Srednje splošno";"Vsi letniki - SKUPAJ";"16 let";8063;8039;7815;7602;7233;6618;6409;6507;6181;6257
"Srednje splošno";"Vsi letniki - SKUPAJ";"17 let";8367;7810;7875;7507;7361;7064;6523;6327;6402;6018
"Srednje splošno";"Vsi letniki - SKUPAJ";"18 let";7958;7504;7261;7208;6911;6835;6733;6375;6210;6219
"Srednje splošno";"Vsi letniki - SKUPAJ";"19 let";866;852;731;719;712;701;601;616;638;570
"Srednje splošno";"Vsi letniki - SKUPAJ";"20 let";265;375;187;134;157;138;120;114;103;116
"Srednje splošno";"Vsi letniki - SKUPAJ";"21 let in veè";514;498;333;326;284;290;242;208;187;163
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"Starost - Skupaj";33861;32432;31315;30324;28789;27683;26852;25994;25680;25269
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"13 let ali manj";7;4;2;1;2;2;1;2;-;1
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"14 let";644;512;254;93;66;92;94;80;61;80
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"15 let";8369;7915;7616;7443;6763;6470;6523;6140;6270;6167
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"16 let";8063;8039;7815;7602;7233;6618;6409;6507;6181;6257
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"17 let";8366;7807;7871;7505;7360;7064;6523;6327;6402;6018
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"18 let";7917;7422;7200;7151;6843;6794;6716;6368;6191;6206
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"19 let";459;528;476;474;468;518;456;454;462;432
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"20 let";30;197;54;43;45;48;57;57;57;56
"…splošna in strokovna gimnazija";"Vsi letniki - SKUPAJ";"21 let in veè";6;8;27;12;9;77;73;59;56;52
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"Starost - Skupaj";1192;1077;759;713;701;527;394;375;372;322
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"13 let ali manj";-;-;-;4;-;-;-;-;-;-
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"14 let";-;-;-;-;-;-;-;-;-;-
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"15 let";-;-;-;-;1;-;-;-;-;-
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"16 let";-;-;-;-;-;-;-;-;-;-
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"17 let";1;3;4;2;1;-;-;-;-;-
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"18 let";41;82;61;57;68;41;17;7;19;13
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"19 let";407;324;255;245;244;183;145;162;176;138
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"20 let";235;178;133;91;112;90;63;57;46;60
"…maturitetni teèaj";"Vsi letniki - SKUPAJ";"21 let in veè";508;490;306;314;275;213;169;149;131;111
